제목,URL,본문,댓글개수
수학 공부법 질문,https://cafe.naver.com/f-e/cafes/10197921/articles/28960804?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,"고2입니다. 1학년 때 퍼질러 놀다가 어릴 때 제 꿈이랑 로망이 마음에 걸려서 2학년 때 공부를 시작했습니다. 내신은 1학년 때 하도 놀아서 3.5 정도 나옵니다. 반성하고 있습니다. 그렇다고 무작정 내신을 버릴 순 없기에 챙기곤 있으나 정시 준비는 어떻게 해야할지 막막합니다. 고1부터 고2 3모까지 쭉 50점대 4등급이었습니다. 그러다가 6모 64, 이번 9모 80까지 딱 1컷 정도로 독학으로 올렸습니다. 앞으로 더 성장하고 3학년 때도 수능까지 쭉 안정적으로 1등급을 유지하려면 어떻게 하면 될까요.. 늦은 만큼 제 남은 시간을 모두 할애할 준비와 독기는 가지고 있습니다. 부족한 저에게 공부법 / 커리큘럼 전도해주시면 감사하겠습니다!(학원 X, 인강 안듣고 있습니다 + 메가패스 있습니다(타과목 때문에))",0
꼭 들어주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/28960692?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,안녕하세요 갓반고 고2 내신 5점대9모는 국어 5 수학 2 영어 5 과탐 5 5 나왔습니다.이번에 진짜로 학교 내신 버리고 수능으로 풀집중해야할까요?진짜 심각한 고민입니다.,6
영어 인강 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/28960532?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,영어 인강 선생님들 중에 그읽그풀 하시는 분이 누구누구 계신가요..? ​물론 영어는 100% 그읽그풀을 가르치는 강사가 없다는 건 알고있습니다. 구조독해와 그읽그풀을 둘 다 사용하되 그읽그풀에 비중을 많이 두시는 분이 어떤 분이신지 알고싶습니다.​+) 좀 검색해본 결과로는 이명학 선생님이 가장 그읽그풀에 비중을 많이 두신다는데 맞나요?,0
9모 성적,https://cafe.naver.com/f-e/cafes/10197921/articles/28960507?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,이 성적이면 어디까지 가능할까요??,0
지구과학 문제집,https://cafe.naver.com/f-e/cafes/10197921/articles/28960329?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,수능 대비 지구 문제집 추천해주세오현재 3정도 나오고 마더텅 5번 넘게 돌렸고 수특이랑 수완 다 풀었습니댜 인강은 안 맞더라구요​,0
작년 신설학과 최초합권의 꼴찌정도면 올해 붙을까요,https://cafe.naver.com/f-e/cafes/10197921/articles/28960261?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,어떻게보세요,0
이과 정시 어디까지 가능?,https://cafe.naver.com/f-e/cafes/10197921/articles/28960237?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,정시로 sky 가능할까요? 사실 최저러긴한데 불안불안해서요 🥵,6
충북대 교과 과탐 필수 하나 응시만하면되죠,https://cafe.naver.com/f-e/cafes/10197921/articles/28960201?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,한과목 응시하기만하면되는거죠,6
국영수과 3.0 국수영사과3.2 대학 추천해주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/28960166?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,It계열,0
시대인대 국어,https://cafe.naver.com/f-e/cafes/10197921/articles/28960139?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,이번 9모에서 독서 때문에 4가 떴어요...원래도 두지문 풀고 시간 부족해서 한지문은 날려도 거의 다 맞긴 했는데 이번엔 푼것도 망해버렸어요....독서가 제일 문제에요ㅜㅜ 시대인재 목동에서 독서 주력으로 잘 하시는분 추천 부탁드려요!!,6
스카이,https://cafe.naver.com/f-e/cafes/10197921/articles/28960071?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,이정도면 연고대 가나요?(참고로 연세대의 경우 내신반영할 때 들어가는 내신은 그냥 바닥이라고 치고 고려대는 당연히 교과우수가 아니라 일반입니다)한국사는 걍 1등급이라고 했을때요+서울대 진짜 간호학과랑 체육말고는 진짜 아무과나 상관없는데 이정도면 절대 못가나요? 문과나 이과 아무상관없습니다 수능 제2외국어 신청했습니다 제 전 게시글에서 안된다고 하셔서요 ​,0
이번 9모 2등급받으신분들(확통),https://cafe.naver.com/f-e/cafes/10197921/articles/28960052?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,확통는 보통 다 맞으셨나요...? 확통 3틀이라 속상하네요,6
43222 정시 어디가능,https://cafe.naver.com/f-e/cafes/10197921/articles/28960048?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,어디 가능 한가요 제발요 궁금합니다,0
국어 성적의 급격한 하락,https://cafe.naver.com/f-e/cafes/10197921/articles/28959980?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,고3이고 35679 차례대로22144입니다. 2등급은 나올 실력이라 생각했는데(7모 전까지)연속 2번 4에 평가원 모고도 4가 나오니 멘탈이 갈리네요이유를 찾아야하는데 모르겠습니다,0
지금 아이디어해도 괜찮을까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959937?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=18,"계속 1, 2문제로 4가 뜹니다2까지 올리고 싶은데 아이디어 괜찮을까요?참고로 확통입니다​아이디어, 너기출은 있고요워크북이랑 기출생각집은 없어요​",6
9모 난이도?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959922?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,국어.수학.영어 어땠을까요?어려웠나요?6모보단 어려웠다고 하는곳도 있고 비슷했다~~도 수학은 쉬웠을까요?댓글좀 부탁드립니다~~^^;;,6
메디컬 목표 삼수생의 9모,https://cafe.naver.com/f-e/cafes/10197921/articles/28959889?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,현역수능 24123작수 12122한국사는 언젠간 하겠죠,6
최저 4합5 현실적으로..,https://cafe.naver.com/f-e/cafes/10197921/articles/28959842?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"제가 가능할까요..언매 미적 영어 생명 지구 해서6모 111239모 12322엄..수능 목표가 국수영탐1로1122 or 1221 인데.. (영어 2를 1로 쳐줘요)지금 수시6장은종합 상향, 3합5 2개, 3합7, 2합5 여서우주상향 1장, 안정 2장이고, 3합5 최저 2개를 적정으로 생각했는데 3합5도 간당간당하네요남은 1개에 4합5를 쓰고 싶은데 이게 맞을까요..​",6
미적92목표인데,https://cafe.naver.com/f-e/cafes/10197921/articles/28959602?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,28 30버리기작전 9월에는성공했습니다28 30은 걍없는문제치고나머지 28문제92점 맞기대로가려하는데​수능때도 쭉 밀고가도되겠죠?,6
사탐런 안시켜준 게 너무 미안하네요,https://cafe.naver.com/f-e/cafes/10197921/articles/28959550?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"6모에 물리 4등급 떠서 사문으로 런하고 싶다는걸 여름방학에 공부하면 사문 2달 공부한 것 보다 나을 거라고 했는데요... 9모도 물리는 4등급이네요.ㅠㅠ​언매, 미적 1등급 받은 걸 다 까먹네요. 2떴던 생명마저 3등급 끝자락. 현역들 과탐이 이리 어려운 걸까요? 우리 애가 과탐을 못하는 걸까요? 내신 물리1은 1.5등급이었는데 사탐런할 때 말리지 말 것을 너무 속상하네요. ​이젠 빼박 생명, 물리인데 어짜피 3합7, 4합8 싸움이니 물리 힘 빼고 생명 올인해야 할지 영어를 붙잡아(절평이니 1등급 받기 제일 효율적) 1등급 놓치지 않도록, 생명 물리는 지금 공부 시간 끌고 가고 국,수,영 1등급 유지하는데 총력을 펼쳐야 할까요?",6
온라인접수 필수 아니죠?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959516?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,ㅈㄱㄴ,0
현우진 드릴과 드릴드,https://cafe.naver.com/f-e/cafes/10197921/articles/28959508?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,현샘의 드릴과 드릴드 둘다 푸는게 좋겠지만 둘 중 하나를 푼다면 드릴을 합한 드릴드를 푸는게 나을까요? 드릴과 드릴드 문제가 완전히 다르게 구성되어있나요?​,6
온라인사전접수가  오늘까지고  원서가  내일까지죠?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959485?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,ㅈㄱㄴ,6
현역 메디컬 투사탐 수시최저러 3합 5 수능 고민 ..,https://cafe.naver.com/f-e/cafes/10197921/articles/28959434?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"<9모 결과>국어 81 낮3 -국어 공부를 애초에 안 함-최저러기도 하고, 제일 첫 시간에 너무 진빼면 안된다고 생각해서 다른 과목 공부만 해왔음-따라서 당연한 결과라고 생각함-하지만 정시로 가야할 수도 있다는 것땨문애 국어 등급 올리는 게 시급함 -수특 수완 아얘 X -학교 수업 안 들음 (넘 내신스타일 수업)-독학하려고 했는데 실패함​수학 72 낮3-6모 7모 76점 2-11 22 풀고 틀려서 -8점으로 72됨-7모때 희망을 보고 수학에 올인하자는 마음으로 과외 시작함-1달가량 진행했는데 뭐가 나아진건진 잘 모르겠음​영어 92 1-영어는 난이도에 따라 다르게 나옴 -3모 80초반 5모 95 6모 98 7모 89 -1~2가 목표임​동사 세사 50 50 ​33111 전체적인 성적 이렇게 되는데, 사탐을 좀 늦게 해서 이때까지 사탐만 판다고 국수영에 집중을 못했습니다수학 2등급-3등급 탈출하고 싶은데 공부 방법 추천해주세요 현우진 ~ 좋던데 말고, 확실하게 단기간에 모의고사 한 84-88 정도 가능한 공부 방법 추천해주세요 ​",6
9모 미적 언매,https://cafe.naver.com/f-e/cafes/10197921/articles/28959403?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,9모 국어 문학은 1개빼고 다 맞았는데 독서에서 7개 틀리고 언어에서 3개 틀렸는데 독서랑 언매를 어떻게 공부하는게 좋을까요수학은 69점인데 시대서바랑 시즌2 모고들이 밀려있어요 수학공부법 추천좀요..,6
정시 기균 차상위전형 대학 라인 고민 ㅠㅠ 조언해주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/28959386?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,9모 기준 국어 3 수학 2 해서 국수 백분위 88이고​영어 2(낮2)​탐구는 화생 둘 다 4 (60%대) 인데​ 건동홍 라인 공대 갈 수 있나요??,6
사설 모의고사와 평가원 모고,https://cafe.naver.com/f-e/cafes/10197921/articles/28959267?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"사설 모의고사 지속적으로 국,수 99. 그 이상이신 극상위 분들은 평가원 모고 거의 흔들림이 없나요. 탐구도 궁금합니다.",6
생명 n제 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/28959191?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,생명1 작수2 이번9모3 떴는데찍맞없는 제 실력은 3후정도 같아요안정 2까지는 가고 싶은데... 기출은 두바퀴 정도 돌렸고유전 풀 시간이 부족해서 여러 문제로 연습하고 싶습니다디카프 n제 추천 받았는데 제 등급대면 캔버스 프로모터 어댑터 중에 뭐 추천하시나요??다른 괜찮은 생명 문제나 공부법 있으면 알려주세요ㅠㅠ,6
11332대학 어느 라인까지 가능할까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959096?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,6모 9모 언매 1등급(97%) 미적 1등급(96%) 영어 3 물리 3등급(75%) 생명과학 2등급(88%) 이렇게 비슷한 등급으로 나옵니다. 과탐 2과목이 항상 평균 백분위를 까먹네요 ㅠㅠ정시까지 고려한다면.. 위 등급으로 어느 학교까지 가능할까요?메가스터디나 진학사에 모의지원은 과탐 가산점이나 학교별 반영비율이 적용 안된거죠?이과 내신 2.15 수시 라인 하향을 어느 학교까지 써야 할까요?수시로 안정을 잡으려 하니 모의고사 등급이 아까운거 같고 정시로 하려니 과탐 2과목이 얼마나 내려갈지 몰라 무섭네요 ​,6
수리논술,https://cafe.naver.com/f-e/cafes/10197921/articles/28959026?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"수학 2~높3정도 나오는데 수리논술 가능할까요? 이 정도면 최저상관없이어떤 대학에 합격가능성이 있을까요? 정확하게 이렇다기보다 문제 수준을 보고 가능대학 질문드려요 따로 논술은 안 했고 내신 미적,기하 했어요확통은 개념만 혼자 한 번 돌렸습니다​",0
6모 22231(평백90) / 9모 31214(평백88) 어디 라인까지 가능한걸까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28959004?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,언매/확통/사탐2 입니다.​늘상 나오던 사문 1등급이 배신을 때려서 평백이 쭈욱~ 내려갔습니다.​어찌됐던.. 이렇게 수능본다 쳤을때...(평백88~90)​갈 수 있는 정시라인이 어느정도 인가요?​공대계열로 어디까지..? / 학과 상관없이 어디까지? ​이게 궁금합니다.​미리 감사드립니다. ​​​,6
9모 공통 12 13 14 15 21 22,https://cafe.naver.com/f-e/cafes/10197921/articles/28958898?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,121314152122 틀렸는데 어떤 문제집 풀어야할까요 고3 수능 3등급목표인데 기출은 너무 많아서 안풀엇어요 어삼쉬사를할까요 기출 많아도 다 풀까요 아님 뉴런? 수분감?,6
지구과학 목표 3등급 공부법,https://cafe.naver.com/f-e/cafes/10197921/articles/28958786?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"3,5모4 6모 5 7모5 9모6예상하는데목표는 3입니다 남은 기간 어떻게 써야할지 조언 부탁드려요..",6
국영수 332 도와주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/28958640?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"이번 모고 332 나왔습니다.국어는 항상 안정1 아니면 높은 2 받았어서 영어 수학에 더 집중했더니 3이 떠버렸네요....갑자기 이렇게 되어서 좀 당황스럽고, 감 찾으려고 실모 좀 풀어보려 하는데 역시 이감이 제일 괜찮으려나요?​수학은 항상 아슬 3입니다...ㅜㅜ높은 3이나 2까지 끌어올리고 싶은데 어떻게 해야 할 지 모르겠어요.공통은 객관식 주관식 제일 어려운거 하나씩 빼곤 다 맞는데 미적분에서 박살나요 ㅜㅜ4점짜리 다 틀리고 3점짜리 하나도 간당간당 맞추는 수준입니다.이 부분도 어떻게 하면 좋을지 모르겠어요. 그동안 기출 돌린다고 돌렸는데...​영어는 3, 4, 5, 6, 7모 모두 안정 1 떴는데 이번에 85점입니다.역시나 실모로 감 익혀야 할 거 같은데...영어는 실모 어디가 좋을까요 추천해주세요",0
9망수잘을 믿습니까????,https://cafe.naver.com/f-e/cafes/10197921/articles/28958617?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,믿는다고 해주세요..,6
[김과외 사탐 전체 1위 장T] 9평 이후 사탐런에 관한 의견,https://cafe.naver.com/f-e/cafes/10197921/articles/28958474?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"안녕하세요, 장T입니다.이번 9평에서도 제 예측이 맞았습니다.사문 1컷 42, 생윤 1컷 44... 올해 사문생윤은 역사상 최고의 꿀과목이 될 예정입니다. 사회탐구는 '개념'보다는 문제의 형식, 문제의 패턴에 익숙해지는 것이 가장 중요합니다.​'개념'은 무조건 빠르게 돌리는 것이 가장 중요합니다. 인강 60개? 솔직히 너무 많다보니 다 듣고 나면 앞 단원을 까먹을 정도입니다.심지어 최근 생윤 같은 경우는 개념을 모두 알아도 국어독해가 되지 않으면 문제가 풀리지도 않습니다.​결국 개념은 빠르게, 디테일은 문제 풀면서 채워가는 것. 이것이 사탐 공부의 본질이라 생각합니다.​지금 사탐런하는 친구들은, 마더텅 사서 그냥 풀어보세요. 대학교 공부한다 생각하고, 마더텅 앞 작은 개념만 읽고 문제를 풀다보면, 어느순간 개념이 정립되어있습니다.​귀납적 학습을 하셔야 합니다. 교수님들이 문제를 너무 잘 만들어서, 일단 풀고 고치고 하다보면 알아서 되어있습니다.​불안하다 하는 친구들은 이번 주 토요일과 다음주 토요일(9/6,13)에 진행하는 사탐런 특강(생윤) 들으러 대치동 오세요.​두 번 수업에 노베가 생윤 전 범위를 돌릴 수 있게 해줍니다. 사탐런. 당장하세요.​​선생님 프로필🏫-강남 8학군 경기고 졸업, 현 압구정 거주-서울대학교에서 체육교육, 철학, 기계공학 전공중-과외를 위해 수능을 8번 (문과 5번, 이과 3번)직접 보러간(18-25) 선생님.-수능에서 모든 과목을 한 번 이상 만점 받아본 경험(국어 수학 사문 생윤 물리1 지구2 만점 경험)-친동생 두 명 각각 서울대, 시립대 재학중-1대1 과외경험 500명 이상. 정말 많이했습니다.-김과외 사회영역 전국 1위(2025.7 현재 기준)학생수, 평가, 리뷰, 좋아요 수 등 모든 영역- 대치동에서 학원 운영중",8
거인의 어깨 컨설팅 좋은가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28958307?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,9모 후 정시의 벽이 높아졌어요.ㅠ,0
수능,https://cafe.naver.com/f-e/cafes/10197921/articles/28958306?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,보통 9모보다도 더 떨어지나요.​9모와 수능이 비슷하게 나오나요.​​​,6
21345어떻게 할까요? 미적 96,https://cafe.naver.com/f-e/cafes/10197921/articles/28958242?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,고3 갓반고는 아니고 조금 공뷰를 하긴하는 서울일반고 입니다 내신은 2.58정도고 9모가 이모양 입니다 (물1생1)탐구가 저정도일꺼라 생각을 못해서 수시를 버리고정시를 한다 했는데 9모가 이렇다 보니 …수시를 발써봐야할텐데 … 어느라인까지 감도 없어요 도움이 필요합니다생기부는 수과학 활동이 많지만 딱 뭘 타겠해서 되어 지진 않았고 생명이 좀 많긴합니다 (저도 입시 잘 모르고 안일하게 생각헌것 같아요 )머리가 백지가 되어 버렸는데 아이는 더 마음이 힘들까 싶어서 내색을 안하려니 이곳에 여쭤봅니다 ​,6
화2,https://cafe.naver.com/f-e/cafes/10197921/articles/28958240?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"올해에 화2 공부 시작해서 6모가 20점, 4등급이었고 요번 9모에서 41점 받았는데 3등급입니다...​처음엔 9모에서 화2가 2뜨면 걍 하려고 했는데 3이 나와서 통탄스러울 지경이고요, 6모보다 9모 등급컷이 오를 걸 생각 안 했던 제가 참 짜증납니다.​저는 지금까지 화2한 시간이 너무 아까워서라도 이거 하고 싶고, 최대한 올리고 싶은데 화2를 걍 해야할까요? 아님 화1로 바꿀까요?​아무래도 화2를 하다가 화1을 보니까 화1이 쉬워는 보이는데, 거기는 등급컷이 더 높아서...ㅠ",0
지구2컷,https://cafe.naver.com/f-e/cafes/10197921/articles/28957835?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,지구 2컷 38가능성 없나요?ㅜㅜㅜㅜ 39인데도 있고 38인데도 있고 37인데도 있어서.. 모르겠어요..,0
고2랑 고3 영어 지문 원래 겹칠때가 잇나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28957749?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,고2 고3 두 지문 아예 같은데 원래 그럴때도 잇나요,6
23235 대학교 어디갈 수 있나요,https://cafe.naver.com/f-e/cafes/10197921/articles/28957734?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,점수는​화작 89미적 76영어 80사문 35지1 20 이정도 나왔네요 지1은 버려서 점수가 웃기긴해요,0
"9모평 가채점, 과탐이 망하다니..",https://cafe.naver.com/f-e/cafes/10197921/articles/28957733?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,화작 89미적 96영어 81 (간신히 2등급)물리 43생명 38​배 아플가봐 아침도 빈속에 갔는데 점심을 굶었다 한다.과탐은 항상 상당히 탄탄했는데 탄수화물 부족으로 머리 회전이 느려진걸가 쉬운 문제도 안풀려서 시간 끌다 물리 2문제는 찍고 생명은 3문제나 몹시 어려웠단다 풀 수 없는 문제처럼. 이렇게 변수가 생길 수 있음을 9모에서 미리 터득하고 배울 수 있어 다행이다. 실전 수능에선 문제점을 고치고 대비해야겠다.,6
이정도면 정시로,https://cafe.naver.com/f-e/cafes/10197921/articles/28957569?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,수시카드 쓰는데 참고 하려구요!!근데 제가 수시러라…^^ 제 수준이 어느정도인지 잘 모르겠어요..이정도면 정시로 어느라인정도 가나요??,0
이정도면 경북대 전자나 건동홍 가능할까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28957486?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,국수가 예상보다 너무 낮아서 걱정되네요... 간절합니다 ㅠㅠ,6
이 정도면 대애애애애충,https://cafe.naver.com/f-e/cafes/10197921/articles/28957484?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,어디 가능한가요..,6
생1 37 물1 37이면 얼마가 뜰까요ㅠㅠ 빨리띄워줘 평가원..,https://cafe.naver.com/f-e/cafes/10197921/articles/28957454?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,.,0
"수학,영어",https://cafe.naver.com/f-e/cafes/10197921/articles/28957424?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,제가 지금 수학 낮3영어 낮 3인데 뭐 하면 좋을까요??추천 부탁드립니다,0
순천향대 이과,https://cafe.naver.com/f-e/cafes/10197921/articles/28957405?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,순천향대 이과 어떤가요?,0
윤도영 수강생을 위한 2026학년도 9월 모의평가 생명과학1 손글씨 해설,https://cafe.naver.com/f-e/cafes/10197921/articles/28957308?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,필요하다면 참고해서 공부하세요.올해 수능에서 원하는 목표 이루시길 바랍니다! 첨부파일 9모 손글씨해설.pdf null 파일 다운로드 내 컴퓨터 저장 네이버 MYBOX에 저장 ​,6
생명1 해야하나요 사탐 선택해야하나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28957204?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,검정고시생이고 올해 수능을 보려고 하는데요국어 화작 2 (94)수학 미적분 2 (91)영어 1지구과학 1 (96)한국사 1이렇게 나옵니다지금 2개월정도 남았는데생명 노베인데 가능할까요? 목표는 1...아니면 2에요아니면 사탐 사문으로 할까요?ㅠㅠ,6
21322,https://cafe.naver.com/f-e/cafes/10197921/articles/28957185?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,언매/미적/영/과탐 21322 이정도면 어디 갈까요 :,6
"지구 컷,…",https://cafe.naver.com/f-e/cafes/10197921/articles/28957048?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,지구 컷 어케 될것 같아요?,0
수능은 컷이 더 올라가나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28957041?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,ㅈㄱㄴ그리고 메가랑 이비에스 미적 등급컷 차이가 좀 심하던데 1컷 81은 말이안되죠?,6
9모 등급 개떡락 22313 -> 44333,https://cafe.naver.com/f-e/cafes/10197921/articles/28957016?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"이번에 과탐(생지)에 공을 좀 많이 들였습니다.​국어랑 과탐 모고 전에 평가원기출 5개년 풀었을때 생지 둘 다 47점 밑으로 내려간적 없고, 대부분 만점이었습니다.​국어도 90 이하로 내려간 적 없고, 보통 94-96 사이었습니다.​수학이랑 영어는 그냥 적당히 해서 일단 3등급안에 들어오기만 하면 되는거였습니다.​생명이랑 지구 N제 미친듯이 풀면서 이후에는 국수영에 집중하자는 마인드로 9모에서 1, 1 찍고 쉬엄쉬엄 하루 몇페이지씩 풀어가자 생각했어요.​근데? 444333(한국수영생지)이 나오네요국어 언매 68수학 미적 61영어 71생명 38지구 32한국사 28​고3 인생 최고로 열심히 준비한 모의고사였습니다.​자칭 애국자로 한국사 모고 한번도 1등급 놓친 적이 없는데이번에 한국사 모고도 4떴습니다.​손 벌벌떨리더니 이렇게 될 줄이야진짜..... 진짜 막막하고 암담해서 아무 생각이ㅠ없어요​",6
D-71 기하런 어떻게 생각하시나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28956879?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,고3 현역 정시파이터 (자연) 입니다.미적분 공부를 하나도 안해놔서 공통을 아무리 잘봐도 점수가 줄줄 새고 있어요 ㅠㅠ그동안 미적분 공부하는거 너무 스트레스 받아서 회피하고 살았어요 …기하는 작년 내신 때문에 공부한적이 있어서 그나마 부담이 비교적 덜 할것 같아서 한번 기하로 돌려보려고 생각중인데 어떻게 생각하시나요? 너무 무리일까요 …실력? 이라고 하기 뭐하지만 적어보자면 공통은 14번까지 한문제 빼고 풀수있는 정도입니다 … 목표 등급은 2등급이에요. 아무래도 기하 선택자수가 적어서 … 관련 정보를 잘 모르는데 다들 선택자 수가 적은 과목은 가지 말라고 하더라고요. 수능 원서 접수 마감이 코앞이라 빠르게 정해야하는데 … 막막해서 글이라도 올려봅니다 ㅠ 😭,6
현역 지금부터 재수,https://cafe.naver.com/f-e/cafes/10197921/articles/28956851?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,6모보다 모든과목이 1등급씩 떨어져서 그냥 말도안되는 등급 받앗어요여태껏 공부한것중에 뭐가 잘못됐는진 대강 알겠는데 2달안에 그걸 고치는건 사실상 불가능할거갘아요지금부터 재수하는거 진지하게어케생각하세요​올해수능치기너무두랴워요당장 내일부터 수시원서 상담 받으러다니고 해야되는데 이꼬라지 성적갖고 어케 수능최저룰 맞춘다고 할지 아 죽고싶아요 꼴에전교권이라 쌤들이 다 아실텐데 너무쪽팔려요,6
고2 9모 점수,https://cafe.naver.com/f-e/cafes/10197921/articles/28956828?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,국영수 331이네요 ㅠㅠ​수능에서 국어 영어 2는 나올까요? ~~~ 어렵네요,0
원광대vs조선대,https://cafe.naver.com/f-e/cafes/10197921/articles/28956761?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,둘다 붙는다면 어디로 갈 것 같나요..ㅠㅠ?거리는 둘다 상관없고 과는 의예과입니다!!,4
컷예측좀,https://cafe.naver.com/f-e/cafes/10197921/articles/28956648?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,화작 70미적 72세지 40 지구 30 ​,0
메가 등급컷,https://cafe.naver.com/f-e/cafes/10197921/articles/28956493?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,인생,6
현역 정시러 9모 망..,https://cafe.naver.com/f-e/cafes/10197921/articles/28956475?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=19,"언매 83미적 81영어 84생지 봤는데.......현역이고 지금까지 국영수 등급이 3,5,6,7순으로 131 111 121 221 이랬는데 이번에 너무 망해서 어떻게 해야할지 모르겠어요.. 국어 언매에서 언어 2개 매체 2개해서 9점 날라가고 수학도 푼거 2개 틀리고.. 9망수잘 가능할까요,, 탐구는 생명은 보통 2,3 나오고 지구는 어떻게 점수 받을지 감도 안잡히네요ㅜㅜ",6
